BOROUGH,NEIGHBORHOOD,BUILDING_CATEGORY,ADDRESS,ZIP_CODE,LAND_SQR_FT,GROSS_SQR_FT,YEAR_BUILT,PRICE,long,lat
STATEN ISLAND,NEW DORP-HEIGHTS         ,ONE FAMILY HOME,130 NEVADA AVENUE                        ,10306,14814,2558,1965,750000,-74.12651062011719,40.58287048339844
QUEENS,BAYSIDE                  ,TWO FAMILY HOMES,200-06 32ND AVENUE                       ,11361,1876,1920,1960,750000,-73.78893280029297,40.76955032348633
BRONX,BRONXDALE                ,TWO FAMILY HOMES,2921 PEARSALL AVENUE                     ,10469,2500,2898,1955,400000,-73.85205841064453,40.86824035644531
QUEENS,BAYSIDE                  ,ONE FAMILY HOME,28-45 212TH   STREET                     ,11360,4612,4477,2005,840056,-73.77677154541016,40.77524948120117
STATEN ISLAND,OAKWOOD                  ,ONE FAMILY HOME,366 TYSENS LANE                          ,10306,4600,1196,1965,417000,-74.12162017822266,40.56686019897461
BROOKLYN,EAST NEW YORK            ,TWO FAMILY HOMES,966 GLENMORE AVENUE                      ,11208,2000,3240,2003,408000,-73.87419891357422,40.676239013671875
BRONX,RIVERDALE,THREE FAMILY HOMES,5709 FARADAY AVENUE,10471,3125,2184,1988,980000,-73.89971160888672,40.90502166748047
QUEENS,JACKSON HEIGHTS          ,ONE FAMILY HOME,30-36 82 STREET                          ,11370,2542,1433,1955,477000,-73.88298034667969,40.7725715637207
QUEENS,FOREST HILLS,ONE FAMILY HOME,67-83 DARTMOUTH STREET,11375,1800,1224,1945,958000,-73.85428619384766,40.7209587097168
STATEN ISLAND,NEW DORP                 ,TWO FAMILY HOMES,75 CANNON BOULEVARD                      ,10306,4400,1503,1960,520000,-74.11976623535156,40.5682487487793
BROOKLYN,BERGEN BEACH             ,TWO FAMILY HOMES,7319 BERGEN COVE ROAD                    ,11234,5152,3750,2005,865000,-73.90862274169922,40.62377166748047
QUEENS,FLORAL PARK              ,ONE FAMILY HOME,82-04 262ND STREET                       ,11004,5500,930,1950,380000,-73.70816040039062,40.7413215637207
STATEN ISLAND,WOODROW                  ,TWO FAMILY HOMES,1017 RATHBUN AVENUE                      ,10309,2500,1440,1987,365000,-74.2100601196289,40.53628158569336
QUEENS,MIDDLE VILLAGE           ,ONE FAMILY HOME,59-08 70TH STREET                        ,11378,1440,1831,1965,530000,-73.89102935791016,40.72426986694336
BROOKLYN,CANARSIE                 ,TWO FAMILY HOMES,1299 EAST 91 STREET                      ,11236,2781,2352,1965,660000,-73.8851547241211,40.65557861328125
BROOKLYN,CANARSIE                 ,TWO FAMILY HOMES,1554 EAST 91 STREET                      ,11236,2150,1884,1955,480000,-73.88514709472656,40.65557861328125
BRONX,PELHAM GARDENS           ,ONE FAMILY HOME,2356 TIEMANN AVENUE                      ,10469,2400,2020,1960,357500,-74.22915649414062,40.51850128173828
BROOKLYN,GRAVESEND                ,ONE FAMILY HOME,8804 23RD   AVENUE                       ,11214,3867,5215,2009,610000,-73.99603271484375,40.596580505371094
STATEN ISLAND,TOTTENVILLE              ,ONE FAMILY HOME,6 JEFFREY PLACE                          ,10307,10823,4560,1988,875000,-74.23175811767578,40.511558532714844
STATEN ISLAND,WOODROW                  ,ONE FAMILY HOME,66 ALYSIA COURT                          ,10309,1980,2126,1980,499999,-74.2157974243164,40.53709030151367
